t,s,ds,e,de,i,di,r,dr
0,249970,0,30,0,0,0,0,0
1,249885,-85,97,67,18,18,0,0
2,249581,-304,343,246,69,51,7,7
3,248658,-923,1060,717,247,178,35,28
4,246931,-1727,2151,1091,784,537,134,99
5,244629,-2302,3163,1012,1761,977,447,313
6,241637,-2992,4257,1094,2954,1193,1152,705
7,238020,-3617,5320,1063,4326,1372,2333,1181
8,233760,-4260,6387,1067,5788,1462,4064,1731
9,228802,-4958,7513,1126,7305,1517,6379,2315
10,223209,-5593,8598,1085,8891,1586,9301,2922
11,216945,-6264,9703,1105,10494,1603,12858,3557
12,210041,-6904,10786,1083,12118,1624,17055,4197
13,202446,-7595,11909,1123,13742,1624,21903,4848
14,194243,-8203,12966,1057,15391,1649,27400,5497
15,185284,-8959,14146,1180,17014,1623,33556,6156
16,175768,-9516,15174,1028,18696,1682,40362,6806
17,165503,-10265,16335,1161,20322,1626,47840,7478
18,154597,-10906,17440,1105,21994,1672,55969,8129
19,143018,-11579,18555,1115,23660,1666,64767,8798
20,130800,-12218,19640,1085,25329,1669,74231,9464
21,117865,-12935,20791,1151,26981,1652,84363,10132
22,104322,-13543,21859,1068,28664,1683,95155,10792
23,90040,-14282,23026,1167,30314,1650,106621,11466
24,75154,-14886,24097,1071,32004,1690,118746,12125
25,39928,-35226,25174,1077,33660,1656,151238,32492
26,20064,-19864,19606,-5568,35301,1641,175029,23791
27,10123,-9941,12136,-7470,32944,-2357,194797,19768
28,5483,-4640,6518,-5618,27048,-5896,210951,16154
29,3124,-2359,3322,-3196,20139,-6909,223414,12463
30,1855,-1269,1661,-1661,14077,-6062,232407,8993
31,1138,-717,825,-836,9443,-4634,238595,6188
32,718,-420,408,-417,6161,-3282,242713,4118
33,465,-253,201,-207,3941,-2220,245393,2680
34,307,-158,99,-102,2485,-1456,247109,1716
35,206,-101,48,-51,1550,-935,248195,1086
36,140,-66,23,-25,959,-591,248877,682
37,96,-44,11,-12,589,-370,249303,426
38,67,-29,5,-6,360,-229,249568,265
39,46,-21,3,-2,219,-141,249732,164
40,32,-14,1,-2,133,-86,249833,101
41,22,-10,1,0,81,-52,249896,63
42,16,-6,0,-1,49,-32,249935,39
43,11,-5,0,0,29,-20,249960,25
44,8,-3,0,0,18,-11,249975,15
45,5,-3,0,0,11,-7,249984,9
46,4,-1,0,0,6,-5,249990,6
47,3,-1,0,0,4,-2,249994,4
48,2,-1,0,0,2,-2,249996,2
49,1,-1,0,0,1,-1,249997,1
50,1,0,0,0,1,0,249998,1
51,1,0,0,0,1,0,249999,1
52,0,-1,0,0,0,-1,249999,0
53,0,0,0,0,0,0,250000,1
54,0,0,0,0,0,0,250000,0
55,0,0,0,0,0,0,250000,0
56,0,0,0,0,0,0,250000,0
57,0,0,0,0,0,0,250000,0
58,0,0,0,0,0,0,250000,0
59,0,0,0,0,0,0,250000,0
60,0,0,0,0,0,0,250000,0
61,0,0,0,0,0,0,250000,0
62,0,0,0,0,0,0,250000,0
63,0,0,0,0,0,0,250000,0
64,0,0,0,0,0,0,250000,0
65,0,0,0,0,0,0,250000,0
66,0,0,0,0,0,0,250000,0
67,0,0,0,0,0,0,250000,0
68,0,0,0,0,0,0,250000,0
69,0,0,0,0,0,0,250000,0
70,0,0,0,0,0,0,250000,0
71,0,0,0,0,0,0,250000,0
72,0,0,0,0,0,0,250000,0
73,0,0,0,0,0,0,250000,0
74,0,0,0,0,0,0,250000,0
75,0,0,0,0,0,0,250000,0
76,0,0,0,0,0,0,250000,0
77,0,0,0,0,0,0,250000,0
78,0,0,0,0,0,0,250000,0
79,0,0,0,0,0,0,250000,0
80,0,0,0,0,0,0,250000,0
81,0,0,0,0,0,0,250000,0
82,0,0,0,0,0,0,250000,0
83,0,0,0,0,0,0,250000,0
84,0,0,0,0,0,0,250000,0
85,0,0,0,0,0,0,250000,0
86,0,0,0,0,0,0,250000,0
87,0,0,0,0,0,0,250000,0
88,0,0,0,0,0,0,250000,0
89,0,0,0,0,0,0,250000,0
90,0,0,0,0,0,0,250000,0
91,0,0,0,0,0,0,250000,0
92,0,0,0,0,0,0,250000,0
93,0,0,0,0,0,0,250000,0
94,0,0,0,0,0,0,250000,0
95,0,0,0,0,0,0,250000,0
96,0,0,0,0,0,0,250000,0
97,0,0,0,0,0,0,250000,0
98,0,0,0,0,0,0,250000,0
99,0,0,0,0,0,0,250000,0
